M,5.2,55,normal
F,5.6,50,underweight
M,6,89,overweight
M,4.11,47,overweight
M,6.3,76,normal
M,5.7,79,overweight
M,5.9,68,normal
M,5.1,72,overweight
M,5.1,40,underweight
M,5,50,normal
F,5.3,55,normal
F,4.1,42,overweight
M,6.6,93,normal
F,5.6,63,normal
F,5.4,55,normal
F,5.5,51,underweight
M,5.9,78,normal
F,4.8,40,normal
M,6.1,90,overweight
F,4.3,39,normal
F,5.2,40,underweight
F,5.6,55,normal
M,6.8,91,normal
M,6.7,79,18.94294771,normal
F,5.7,51,16.89625827,underweight
F,5.4,72,26.57755658,overweight
M,4.4,55,30.57929096,overweight
F,5.9,87,26.90204557,overweight
M,6.8,67,15.59649649,underweight
